ID,Title,Abstract,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Snowballing applied?,Notes
11,Playing MUSIC — building context-aware and self-adaptive mobile applications,"Although the idea of context-awareness was introduced almost two decades ago, few mobile software applications are available today that can sense and adapt to their run-time environment. The development of context-aware and self-adaptive applications is complex and few developers have experience in this area. On the basis of several demonstrators built by the joint European research project MUSIC, this paper describes typical context and adaptation features relevant for the development of context-aware and self-adaptive mobile applications. We explain how the demonstrators were realised using the open-source platform MUSIC and present the feedback of the developers of these demonstrators. The main contribution of this paper is to show how the development complexity of context-aware and self-adaptive mobile applications can be mastered by using an adaptation framework such as MUSIC. Copyright © 2012 John Wiley & Sons, Ltd.",J. Floch C. Frà R. Fricke K. Geihs M. Wagner J. Lorenzo E. Soladana S. Mehlhase N. Paspallis H. Rahnama P.A. Ruiz U. Scholz,Software: Practice and Experience,Journal Article,2013,Query,yes,yes,no,,,,,,x,,,,
12,"Supervisory Fault Adaptive Control of a Mobile Robot and Its Application in Sensor-Fault Accommodation
",A new architecture for fault adaptive control (FAC) of a mobile robot is presented. This architecture is based on the hybrid supervisory control theory. A systematic design procedure for the major components of this architecture is discussed in the context of sensor-fault accommodation by a mobile robot. The FAC architecture is implemented in a mobile robot for laboratory experimentation. Experimental results are provided to demonstrate the feasibility of the proposed FAC architecture,"M Ji,  N Sarkar",IEEE Transactions on Robotics,Journal Article,2007,Query,,,,,x,,,,,,,,
13,Bandwidth-adaptive partitioning for distributed execution optimization of mobile applications,"Mobile applications are becoming increasingly ubiquitous and provide ever richer functionality on mobile devices, while such applications drain increasingly more battery power of mobile devices. Offloading some parts of the application running on mobile devices onto remote servers/clouds is a promising approach to extend the battery life of mobile devices. However, as data transmission of offloading causes delay and energy costs for mobile devices, it is necessary to carefully design application partitioning/offloading schemes to weigh the benefits against the transmission delay and costs. Due to bandwidth fluctuations in the wireless environment, static partitionings in previous work are unsuitable for mobile platforms with a fixed bandwidth assumption, while dynamic partitionings result in high overhead of continuous partitioning for mobile devices. Therefore, we propose a novel partitioning scheme taking the bandwidth as a variable to improve static partitioning and avoid high costs of dynamic partitioning. Firstly, we construct application Object Relation Graphs (ORGs) by combining static analysis and dynamic profiling to propose partitioning optimization models. Then based on our novel execution-time and energy optimization partitioning models, we propose the Branch-and-Bound based Application Partitioning (BBAP) algorithm and Min-Cut based Greedy Application Partitioning (MCGAP) algorithm. BBAP is suited to finding the optimal partitioning solutions for small applications, while MCGAP is applicable to quickly obtaining suboptimal solutions for large-scale applications. Experimental results demonstrate that both algorithms can adapt to bandwidth fluctuations well, and significantly reduce application execution time and energy consumption by optimally distributing components between mobile devices and servers.","J Niu, W Song, M Atiquzzaman",Journal of Network and Computer Applications,Journal Article,2014,Query,yes,yes,no,x,,,,,,,,,
14,XMobile: A MB-UID environment for semi-automatic generation of adaptive applications for mobile devices,"Ubiquitous Computing promises seamless access to information anytime, anywhere with different and heterogeneous devices. This kind of environment imposes new challenges to software development. For example, information and user interface should be adapted according to contextual characteristics such as user, environment, and access device. In case of device adaptation, the development challenge is related to the heterogeneity of the devices, which requires software engineers to create different versions for each type of device and every platform. This paper proposes a MB-UID (model-based user interface development) approach for semi-automatic generation of adaptive applications for mobile devices. An environment, called XMobile, offers a device-independent user interface framework and a code generation tool for providing fast development of multi-platform and adaptive applications according to device and platform features. A case study is also presented to illustrate how the environment can be used for constructing an application for heterogeneous devices with different network connectivity modes.","W Viana, R M.C. Andrade",Journal of Systems and Software,Journal Article,2008,Query,yes,yes,no,x,,,,,,,,,
15,Enabling Adaptive High-Frame-Rate Video Streaming in Mobile Cloud Gaming Applications,"High-frame-rate (HFR) video is emerging in popular gaming applications to enhance the smooth experience perceived by end users. However, it is challenging to guarantee the delivery quality of HFR video in mobile cloud gaming scenarios because of the high transmission rate and limited wireless resources. To address this critical problem, we develop a novel transmission scheduling framework dubbed AdaPtive HFR vIdeo Streaming (APHIS). The term adaptive indicates this scheme's capability in dynamically adjusting the video traffic load and forward error correction (FEC) coding. First, we propose an online video frame selection algorithm to minimize the total distortion based on the network status, input video data, and delay constraint. Second, we introduce an unequal FEC coding scheme to provide differentiated protection for Intra (I) and Predicted (P) frames with low-latency cost. The proposed APHIS framework is able to appropriately filter video frames and adjust data protection levels to optimize the quality of HFR video streaming. We conduct extensive emulations in Exata involving HFR video encoded with H.264 codec. Experimental results show that APHIS outperforms the reference transmission schemes in terms of video peak signal-to-noise ratio, end-to-end delay, and goodput. Therefore, we recommend APHIS for delivering HFR video streaming in mobile cloud gaming systems.",Jiyan Wu ; Chau Yuen ; Ngai-Man Cheung ; Junliang Chen ; Chang Wen Chen,IEEE Transactions on Circuits and Systems for Video Technology,Journal Article,2015,Query,yes,yes,no,x,,,,,,,,,
16,An Aspect Oriented Middleware Architecture for Adaptive Mobile Computing Applications,"Mobile computing applications are required to operate in environments in which the availability for resources and services may change significantly during system operation. Thus, mobile computing applications need to be capable of adapting to these changes to offer the best possible level of service to their users. However, traditional middleware is limited in its capability of adapting to the environment changes and different users requirements. Aspect Oriented Programming has been used in the design and implementation of adaptive middleware architectures. In this paper, we propose an adaptive middleware architecture which can be used to develop adaptive mobile applications. Such architecture is compared to a component-based architecture from a quantitative perspective. The results suggest that middleware based on this model can be used to build mobile adaptive applications that require only a very small overhead in terms of running time as well as memory footprint while producing code that is more ease to comprehend and modify.",Celso Maciel da Costa ; Marcelo da Silva Strzykalski ; Guy Bernard,31st Annual International Computer Software and Applications Conference (COMPSAC 2007),Conference Paper,2007,Query,yes,no,no,,x,,,,,,,,
17,RFID tag localization by using adaptive neuro‐fuzzy inference for mobile robot applications,"Purpose
– The purpose of this paper is to address the use of passive RFID technology for the development of an autonomous surveillance robot. Passive RFID tags can be used for labelling both valued objects and goal‐positions that the robot has to reach in order to inspect the surroundings. In addition, the robot can use RFID tags for navigational purposes, such as to keep track of its pose in the environment. Automatic tag position estimation is, therefore, a fundamental task in this context.

Design/methodology/approach
– The paper proposes a supervised fuzzy inference system to learn the RFID sensor model; Then the obtained model is used by the tag localization algorithm. Each tag position is estimated as the most likely among a set of candidate locations.

Findings
– The paper proves the feasibility of RFID technology in a mobile robotics context. The development of a RFID sensor model is first required in order to provide a functional relationship between the spatial attitude of the device and its responses. Then, the RFID device provided with this model can be successfully integrated in mobile robotics applications such as navigation, mapping and surveillance, just to mention a few.

Originality/value
– The paper presents a novel approach to RFID sensor modelling using adaptive neuro‐fuzzy inference. The model uses both Received Signal Strength Indication (RSSI) and tag detection event in order to achieve better accuracy. In addition, a method for global tag localization is proposed. Experimental results prove the robustness and reliability of the proposed approach.
","G Cicirelli, A Milella, D Di Paola ",Industrial Robot: An International Journal,Journal Article,2012,Query,,,,,x,,,,,,,-,
18,Can adaptive interfaces improve the usability of mobile applications?,"Mobile applications are becoming increasingly widespread and complex. Many of these applications suffer from usability issues, including information overload, screen clutter, lack of task support and limited interaction mechanisms. Adaptive user interfaces (AUIs) have been proposed to address some of these usability issues. The aim of this paper is to investigate how AUIs can improve the usability of mobile applications. This paper discusses several simple types of adaptation that have been shown to yield significant usability benefits for mobile applications. Two case studies are presented to illustrate how an AUI can be incorporated into different types of mobile applications. This paper also discusses the lessons learned from these case studies and presents some implications for designing adaptive systems in the future.","JL Wesson, A Singh, B Van Tonder","Human-Computer Interaction, 2010 - Springer",Conference Paper,2010,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,-
19,"A framework for context-aware self-adaptive mobile applications SPL
","Mobile Applications are rapidly emerging as a convenient medium for using a variety of services. Over time and with the high penetration of smartphones in society, self-adaptation has become an essential capability required by mobile application users. In an ideal scenario, an application is required to adjust its behavior according to the current context of its use. This raises the challenge in mobile computing towards the design and development of applications that sense and react to contextual changes to provide a value-added user experience. In its general sense, context information can relate to the environment, the user, or the device status. In this paper, we propose a novel framework for building context aware and adaptive mobile applications. Based on feature modeling and Software Product Lines (SPL) concepts, this framework guides the modeling of adaptability at design time and supports context awareness and adaptability at runtime. In the core of the approach, is a feature meta-model that incorporates, in addition to SPL concepts, application feature priorities to drive the adaptability. A tool, based on that feature model, is presented to model the mobile application features and to derive the SPL members. A mobile framework, built on top of OSGI framework to dynamically adapt the application at runtime is also described.","Rabeb Mizouni, Mohammad AbuMatar, Zaid AlMahmoud, Salwa Alzahmi, Aziz Salah",Expert Systems with Applications,Journal Article,2014,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,-
20,Energy Consumption Analysis and Adaptive Energy Saving Solutions for Mobile Device Applications,"Recent trends, motivated by user preferences towards carrying smaller and more complex devices, have focused on integrating different user-centric applications in a single general-purpose mobile hand-held device. Hence, Laptops, smart phones and PDAs are rapidly replacing computers as the most commonly-used Internet-access devices. This has resulted in much higher energy consumption and consequently, a reduced battery life of a wireless device. In fact, the biggest problem today in the mobile world is that they are battery driven and the battery technologies are not matching the required energy demand. This chapter focuses on different energy consuming components in the high-end wireless devices, with specific emphasis on adaptive energy efficient display and decoding mechanisms","Martin Kennedy, Hrishikesh Venkataraman, Gabriel-Miro Muntean
",Green IT: Technologies and Applications,Book Section ,2011,Query,,,,,,,,,,x,,,
21,"Adaptive pulse segmentation and artifact detection in photoplethysmography for mobile applications
",Pulse oximeters non-invasively measure heart rate and oxygen saturation and have great potential for predicting critical illness. The photoplethysmogram (PPG) recorded from pulse oximetry is often corrupted with artifacts. These artifacts render the derived vital signs inaccurate.,Walter Karlen ; J. Mark Ansermino ; Guy Dumont,2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Conference Paper,2012,Query,yes,yes,yes,x,,,,,,,,,
22,Applications of an Adaptive Hierarchical Mobile Robot Navigation System,"A hierarchical robot navigation system has been developed and implemented on a range of real and simulated mobile robots for two independent research applications. One application is a study on emotion-modulated navigation. The other is an investigation of heterogeneous multi-robot navigation. The navigation framework shared by the various implementations is described. A multi-layered architecture is employed that incorporates reactive control, deliberative path planning and exploration capabilities. The reactive controller utilises a two-stage optimisation in directional and velocity space. Path planning employs a probabilistic A* algorithm applied to a dynamically-updated occupancy grid. Implementation differences between applications include the path planning cost function, and certain aspects of the reactive control system that are affected by different robot shapes and drive systems. Some key results from both applications are presented, including experiments performed in simulation and in the real world.","CP Lee-Johnson, P Chand, DA Carnegie ",Australasian Conference on Robotics and Automation,Journal Article,2007,Query,yes,no,no,,x,,,,,,,,
23,SAMPLES: Self Adaptive Mining of Persistent LExical Snippets for Classifying Mobile Application Traffic,"We present SAMPLES: Self Adaptive Mining of Persistent LExical Snippets; a systematic framework for classifying network traffic generated by mobile applications. SAMPLES constructs conjunctive rules, in an automated fashion, through a supervised methodology over a set of labeled flows (the training set). Each conjunctive rule corresponds to the lexical context, associated with an application identifier found in a snippet of the HTTP header, and is defined by: (a) the identifier type, (b) the HTTP header-field it occurs in, and (c) the prefix/suffix surrounding its occurrence. Subsequently, these conjunctive rules undergo an aggregate-and-validate step for improving accuracy and determining a priority order. The refined rule-set is then loaded into an application-identification engine where it operates at a per flow granularity, in an extract-and-lookup paradigm, to identify the application responsible for a given flow. Thus, SAMPLES can facilitate important network measurement and management tasks --- e.g. behavioral profiling [29], application-level firewalls [21,22] etc. --- which require a more detailed view of the underlying traffic than that afforded by traditional protocol/port based methods. We evaluate SAMPLES on a test set comprising 15 million flows (approx.) generated by over 700 K applications from the Android, iOS and Nokia market-places. SAMPLES successfully identifies over 90% of these applications with 99% accuracy on an average. This, in spite of the fact that fewer than 2% of the applications are required during the training phase, for each of the three market places. This is a testament to the universality and the scalability of our approach. We, therefore, expect SAMPLES to work with reasonable coverage and accuracy for other mobile platforms --- e.g. BlackBerry and Windows Mobile --- as well.","H Yao, G Ranjan, A Tongaonkar, Y Liao, Z M Mao",Proceedings of the 21st Annual International Conference on Mobile Computing and Networking,Conference Paper,2015,Query,yes,yes,no,x,,,,,,,,,
24,Adaptive application offloading using distributed abstract class graphs in mobile environments,"Self-adaptation of software has been used as a mechanism to address complexity and constraint in mobile and pervasive computing environments. Adaptive offloading is a software adaptation mechanism in which an application dynamically distributes portions of itself to remote devices to achieve context specific optimizations. The feasibility of using adaptive offloading in pervasive environments is determined by the computational efficiency of adaptation algorithms and the efficacy of their decisions. However, existing state-of-the-art approaches incur overheads from storing, updating and partitioning complete application graphs on each device, which limits their utility and scalability in resource constrained mobile environments. Hence, this paper presents a novel distributed approach to application representation in which each device maintains a graph consisting only of components in its memory space, while maintaining abstraction elements for components in remote devices. This approach removes the need to store and update complete application graphs on each device and reduces the cost of partitioning an application during adaptation. In addition, an extension to an existing application graph partitioning heuristic is proposed to utilize this representation approach. An evaluation involving computationally heavy open-source applications adapting in a heterogeneous collaboration showed that the new approach reduced graph update network cost by 100%, collaboration-wide memory cost by between 37% and 50%, power usage by between 63% and 93%, and adaptation time by between 19.47% and 98%, while improving efficacy of adaptation by 12% and 34% for two of the considered applications.","E Abebe, C Ryan","Journal of Systems and Software, 2012 - Elsevier",Journal Article,2012,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
25,Robust adaptive fault detection using global state information and application to mobile working machines,"In this paper, an observer-based fault detection approach for a class of nonlinear systems is presented, which can be modeled by Takagi-Sugeno (TS) fuzzy models. We propose a sliding mode fuzzy observer that deals with bounded uncertainties in the plant and allows fault estimation based on an equivalent output error injection approach. Furthermore an adaption scheme based on pattern recognition algorithms is presented. It allows to deal with situational uncertainties, which affect the system, by adapting the fault sensitivity. An extensive simulation of a mobile working machine is used to demonstrate the effectiveness of the proposed scheme.",Patrick Gerland ; Dominic Groß ; Horst Schulte ; Andreas Kroll,2010 Conference on Control and Fault-Tolerant Systems (SysTol),Conference Paper,2010,Query,yes,yes,yes,,x,,,,,,,,
26,Adaptive DRX configuration to optimize device power saving and latency of mobile applications over LTE advanced network,"Discontinuous reception (DRX) can be configured as a power saving mechanism for user equipment (UE) in connected mode in the long term evolution advanced (LTE-A) network. Since DRX saves UE's battery power usually at the cost of increased latency, a tradeoff between these two conflicting performance metrics are inevitable. DRX parameters can be optimized for either maximizing power saving or minimizing latency based on the applications running at the UE. In this paper, we first develop an analytical model to estimate power saving achieved and latency incurred by DRX operation. We then propose a scheme to tune DRX parameters in order to keep a balance between these conflicting performance metrics by formulating a multi-objective optimization problem. The tradeoff between power saving and latency is achieved based on the operator's relative preferences for these metrics. We also validate our analytical model by system level simulation results from OPNET Modeler. OPNET simulation results are well aligned with the MATLAB results based on analytical model and the results show that proposed scheme efficiently optimizes the DRX configuration for the battery power saving and latency requirements of various diverse data applications based on the preferences determined by operator.",Satish C. Jha ; Ali T. Koc ; Rath Vannithamby ; Murat Torlak,2013 IEEE International Conference on Communications (ICC),Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,,
27,Middleware Support for Context-Aware Mobile Applications with Adaptive Multimodal User Interfaces,"Context-awareness has been widely recognized as the key enabler for ubiquitous applications. However, in spite of the recent middleware developments for this field, the design and implementation of such applications is still a major challenge mainly due to the complexity of designing the variant context-specific application behaviors, and structuring the application code so as to enable the seamless switching between the corresponding functions. In order to address these problems we have developed a mobile middleware system on top of Android which eases the development and maintenance of adaptive, context-aware ubiquitous mobile applications. In this paper we present this middleware and show how we used it to implement a prototype of a context-aware Instant Messenger with an adaptive multi-modal user interface. In order to assess the benefit of using our middleware, we compare its implementation with another version of the same messenger application (also with an adaptive and context-aware multi-modal user interface), that we implemented using only the Android framework.",Lincoln David ; Markus Endler ; Simone D.J. Barbosa ; Jose Viterbo Filho,2011 Fourth International Conference on Ubi-Media Computing,Conference Paper,2011,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
28,"Application of Digital Adaptive Pre-distortion to Mobile Wireless Devices
",Low power adaptive pre-distortion (APD) techniques are applied to nonlinear RF power amplifiers for mobile devices. An APD system is demonstrated which reduces spectral regrowth products by 10-20 dB and increases modulation accuracy by 2-6X. The use of APD allows a reduction in 3 G PA supply current by 2X and provides immunity to load mismatches as high as 8:1.,George Norris ; Joe Staudinger ; Jau-Horng Chen ; Claudio Rey ; Patrick Pratt ; Rick Sherman ; Hamza Fraz,2007 IEEE Radio Frequency Integrated Circuits (RFIC) Symposium,Conference Paper,2007,Query,yes,yes,yes,,x,,,,,,,,
29,Transformable Menu Component for Mobile Device Applications: Working with both Adaptive and Adaptable User Interfaces,"Using a learning system in a mobile environment is not effective if barriers are not overcome in the interaction with targeted users. For that purpose all mobile services, including m-learning ones, demand special attention being paid to interaction with the user. While mobile device applications are becoming more powerful, their development process must utilize the concepts of universal access and universal usability. This paper describes the model of both adaptable and adaptive mobile user interface, through the introduction of a transformable menu component capable to be personalized to each individual user with respect to her/his preferences and interaction style. We discuss the use of customization and adaptation techniques, with the aim to both enhance mobile HCI and to increase user satisfaction, particularly when working with graphically rich m-learning applications.","V Glavinic, S Ljubic, M Kukec","Internation Journal of Interactive Mobile Technologies (iJIM) ― Volume 2, Issue 3, July 2008",Journal Article,2008,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
30,"Link-Adaptive and QoS-Provisioning Cooperative ARQ—Applications to Relay-Assisted Land Mobile Satellite Communications
","In a cooperative relay network, a relay (R) node may facilitate data transmission to the destination (D) node when the latter node cannot correctly decode the source (S) node data. This paper considers such a system model and presents a cross-layer approach to jointly design adaptive modulation and coding (AMC) at the physical layer and the truncated cooperative automatic repeat request (C-ARQ) protocol at the data-link layer for quality-of-service (QoS)-constrained applications. The average spectral efficiency and packet loss rate of the joint C-ARQ and AMC scheme are first derived in closed form. Aiming to maximize the system spectral efficiency, AMC schemes for the S-D and R-D links are optimized, whereas a prescribed packet-loss-rate constraint is satisfied. As an interesting application, joint link adaptation and blockage mitigation in land mobile satellite communications (LMSC) with temporally correlated channels is then investigated. In LMSC, the S node data can be delivered to the D node when the S-D is in the outage, therefore provisioning the QoS requirements. For applications without instantaneous feedback, an optimized rate selection scheme based on the channel statistics is also devised. Detailed and insightful numerical results are presented, which indicate the superior performance of the proposed joint AMC and C-ARQ schemes over their optimized joint AMC and traditional ARQ counterparts.","M Mardani, JS Harsini, F Lahouti, B Eliasi",IEEE Transactions on Vehicular Technology,Journal Article,2011,Query,yes,yes,no,,x,,,,,,,-,
